"ENTRY","PERIOD","ACCNO","NAME","DOCNO","INVNO","DEBORDER","ORDERNO","DEPREF","DATE","REF","AMOUNT","TAX","EXCODE","FAMOUNT","PAID"
"Invoice",4,"TAN002","TANDOOR THE CLAY OVEN","00043763","00043763","DN#12367-EMPTY","00011392","","10/06/2025","TANDOOR THE CLAY OVEN",3105.00,405.00,"00",0.00,"Y"
"Crd Note",4,"TAN002","TANDOOR THE CLAY OVEN","00012683","00043763","DN#12367-EMPTY","","","11/06/2025","TANDOOR THE CLAY OVEN",-3105.00,-405.00,"00",0.00,"Y"
"Invoice",4,"TAN002","TANDOOR THE CLAY OVEN","00043994","00043994","DN#12399-HILTON","00011501","","17/06/2025","TANDOOR THE CLAY OVEN",3086.80,402.63,"00",0.00,"Y"
"Invoice",4,"TAN002","TANDOOR THE CLAY OVEN","00043995","00043995","DN#12399-EMPTY","00011502","","17/06/2025","TANDOOR THE CLAY OVEN",3105.00,405.00,"00",0.00,"Y"
"Crd Note",4,"TAN002","TANDOOR THE CLAY OVEN","00012738","00043995","DN#12399-EMPTY","","","17/06/2025","TANDOOR THE CLAY OVEN",-3105.00,-405.00,"00",0.00,"Y"
"Invoice",4,"TAN002","TANDOOR THE CLAY OVEN","00044198","00044198","DN#12326","00011587","","24/06/2025","TANDOOR THE CLAY OVEN",2576.80,336.10,"00",0.00,"Y"
"Invoice",4,"TAN002","TANDOOR THE CLAY OVEN","00044199","00044199","DN#12326-EMPTY","00011588","","24/06/2025","TANDOOR THE CLAY OVEN",2415.00,315.00,"00",0.00,"Y"
"Crd Note",4,"TAN002","TANDOOR THE CLAY OVEN","00012813","00044199","DN#12326-EMPTY","","","25/06/2025","TANDOOR THE CLAY OVEN",-2415.00,-315.00,"00",0.00,"Y"
"Invoice",5,"TAN002","TANDOOR THE CLAY OVEN","00044447","00044447","DN#12154","","","02/07/2025","TANDOOR THE CLAY OVEN",2576.80,336.10,"00",0.00,"Y"
"Invoice",5,"TAN002","TANDOOR THE CLAY OVEN","00044448","00044448","DN#12154-EMPTY","","","02/07/2025","TANDOOR THE CLAY OVEN",2415.00,315.00,"00",0.00,"Y"
"Crd Note",5,"TAN002","TANDOOR THE CLAY OVEN","00012883","00044448","DN#12154-EMPTY","","","02/07/2025","TANDOOR THE CLAY OVEN",-1897.50,-247.50,"00",0.00,"Y"
"Invoice",5,"TAN002","TANDOOR THE CLAY OVEN","00044672","00044672","DN#12677","","","09/07/2025","TANDOOR THE CLAY OVEN",2529.22,329.90,"00",0.00,"Y"
"Invoice",5,"TAN002","TANDOOR THE CLAY OVEN","00044673","00044673","DN#12677-EMPTY","","","09/07/2025","TANDOOR THE CLAY OVEN",2415.00,315.00,"00",0.00,"Y"
"Crd Note",5,"TAN002","TANDOOR THE CLAY OVEN","00012944","00044673","DN#12677-EMPTY","","","09/07/2025","TANDOOR THE CLAY OVEN",-2415.00,-315.00,"00",0.00,"Y"
"Invoice",5,"TAN002","TANDOOR THE CLAY OVEN","00044854","00044854","","","","15/07/2025","TANDOOR THE CLAY OVEN",500.57,65.29,"00",0.00,"Y"
"Invoice",5,"TAN002","TANDOOR THE CLAY OVEN","00044883","00044883","DN#12210","","","16/07/2025","TANDOOR THE CLAY OVEN",2529.22,329.90,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039960","00044854","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-500.57,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-2579.92,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-1868.72,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-2677.57,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-1306.16,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-1306.16,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-261.47,0.00,"00",0.00,"Y"
"Invoice",5,"TAN002","TANDOOR THE CLAY OVEN","00045061","00045061","PIETERMARITZBURG","00011875","","23/07/2025","TANDOOR THE CLAY OVEN",3029.79,395.19,"00",0.00,"Y"
"Invoice",5,"TAN002","TANDOOR THE CLAY OVEN","00045066","00045066","PMB","00011876","","23/07/2025","TANDOOR THE CLAY OVEN",3105.00,405.00,"00",0.00,"Y"
"Invoice",5,"TAN002","TANDOOR THE CLAY OVEN","00045067","00045067","HILTON","00011879","","23/07/2025","TANDOOR THE CLAY OVEN",1765.18,230.24,"00",0.00,"Y"
"Crd Note",5,"TAN002","TANDOOR THE CLAY OVEN","00013033","00045066","PMB","","","23/07/2025","TANDOOR THE CLAY OVEN",-3105.00,-405.00,"00",0.00,"Y"
"Invoice",5,"TAN002","TANDOOR THE CLAY OVEN","00045078","00045078","HILTON -","00011880","","23/07/2025","TANDOOR THE CLAY OVEN",1897.50,247.50,"00",0.00,"Y"
"Crd Note",5,"TAN002","TANDOOR THE CLAY OVEN","00013036","00045078","HILTON -","","","23/07/2025","TANDOOR THE CLAY OVEN",-2415.00,-315.00,"00",0.00,"Y"
"Invoice",5,"TAN002","TANDOOR THE CLAY OVEN","00045350","00045350","HILTON.","00012023","","02/08/2025","TANDOOR THE CLAY OVEN",1264.61,164.95,"00",0.00,"Y"
"Invoice",5,"TAN002","TANDOOR THE CLAY OVEN","00045351","00045351","DN#20049","00012024","","02/08/2025","TANDOOR THE CLAY OVEN",1207.50,157.50,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",2579.92,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",1868.72,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",2677.57,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",1306.16,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",1306.16,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",261.47,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-10000.00,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","Alloc","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",10000.00,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","00042427","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-395.93,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","00042249","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-1306.16,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","00042315","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-1306.16,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","00041892","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-1868.72,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","00041584","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-2445.46,0.00,"00",0.00,"Y"
"Payment",5,"TAN002","TANDOOR THE CLAY OVEN","00039962","00042017","SPEEDP","","PC-76-21","15/07/2025","TANDOOR THE CLAY OVEN",-2677.57,0.00,"00",0.00,"Y"
"Crd Note",6,"TAN002","TANDOOR THE CLAY OVEN","00013135","00045351","DN#20049","","","05/08/2025","TANDOOR THE CLAY OVEN",-1207.50,-157.50,"00",0.00,"Y"
"Invoice",6,"TAN002","TANDOOR THE CLAY OVEN","00045536","00045536","DN#20155","00012082","","09/08/2025","TANDOOR THE CLAY OVEN",1264.61,164.95,"00",0.00,"Y"
"Invoice",6,"TAN002","TANDOOR THE CLAY OVEN","00045537","00045537","DN#20155-EMPTY","00012083","","09/08/2025","TANDOOR THE CLAY OVEN",1207.50,157.50,"00",0.00,"Y"
"Invoice",6,"TAN002","TANDOOR THE CLAY OVEN","00045543","00045543","DN#20158","","","09/08/2025","TANDOOR THE CLAY OVEN",2529.22,329.90,"00",0.00,"Y"
"Invoice",6,"TAN002","TANDOOR THE CLAY OVEN","00045544","00045544","DN#20158-EMPTY","","","09/08/2025","TANDOOR THE CLAY OVEN",2415.00,315.00,"00",0.00,"Y"
"Crd Note",6,"TAN002","TANDOOR THE CLAY OVEN","00013185","00045537","DN#20155-EMPTY","","","11/08/2025","TANDOOR THE CLAY OVEN",-1207.50,-157.50,"00",0.00,"Y"
"Crd Note",6,"TAN002","TANDOOR THE CLAY OVEN","00013188","00045544","DN#20158-EMPTY","","","11/08/2025","TANDOOR THE CLAY OVEN",-2415.00,-315.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",-12880.00,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",12880.00,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",-449.79,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",-1765.18,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",-2529.22,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",-2529.22,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",-2576.80,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",-3029.79,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",449.79,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",1765.18,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",2529.22,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",2529.22,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",2576.80,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",3029.79,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",-12880.00,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",12880.00,0.00,"00",0.00,"Y"
"Payment",6,"TAN002","TANDOOR THE CLAY OVEN","00040610","Alloc","SPEEDP","","PC-76-22","15/08/2025","TANDOOR THE CLAY OVEN",-497.37,0.00,"00",0.00,"Y"
